COMPLETE ERROR ANALYSIS: eu_fr_5.conllu vs. gold_file_eu.conllu
================================================================================

GENERAL STATISTICS:
Analyzed tokens: 582
UPOS errors: 150 (25.77%)
HEAD errors: 366 (62.89%)
DEPREL errors: 355 (61.00%)

================================================================================

COMPLETE WORD ERROR STATISTICS:
==================================================

ALL ERROR-CAUSING WORDS (sorted by frequency):
'ez': 7 total errors (0.80%)
'du': 4 total errors (0.46%)
'ere': 4 total errors (0.46%)
'ordea': 3 total errors (0.34%)
'bere': 3 total errors (0.34%)
'beste': 2 total errors (0.23%)
'daitezke': 2 total errors (0.23%)
'gure': 2 total errors (0.23%)
'ziren': 2 total errors (0.23%)
'barne': 2 total errors (0.23%)
'dira': 2 total errors (0.23%)
'nahi': 2 total errors (0.23%)
'behar': 2 total errors (0.23%)
'batzuk': 2 total errors (0.23%)
'euskal': 2 total errors (0.23%)
'asmatu': 2 total errors (0.23%)
'gehiago': 1 total errors (0.11%)
'txikikoa': 1 total errors (0.11%)
'batzuetan': 1 total errors (0.11%)
'zeharo': 1 total errors (0.11%)
'bigarren': 1 total errors (0.11%)
'ditudan': 1 total errors (0.11%)
'apurrak': 1 total errors (0.11%)
'ondo': 1 total errors (0.11%)
'ditudala': 1 total errors (0.11%)
'uste': 1 total errors (0.11%)
'itzela': 1 total errors (0.11%)
'izan': 1 total errors (0.11%)
'dakizuke': 1 total errors (0.11%)
'beraz': 1 total errors (0.11%)
'nintzela': 1 total errors (0.11%)
'liteke': 1 total errors (0.11%)
'berean': 1 total errors (0.11%)
'zutela': 1 total errors (0.11%)
'zuten': 1 total errors (0.11%)
'onenean': 1 total errors (0.11%)
'behartsuak': 1 total errors (0.11%)
'zaizkie': 1 total errors (0.11%)
'dugu': 1 total errors (0.11%)
'haiek': 1 total errors (0.11%)
'baldin': 1 total errors (0.11%)
'askok': 1 total errors (0.11%)
'halere': 1 total errors (0.11%)
'antza': 1 total errors (0.11%)
'azkarra': 1 total errors (0.11%)
'indartsua': 1 total errors (0.11%)
'dela': 1 total errors (0.11%)
'gero': 1 total errors (0.11%)
'dezente': 1 total errors (0.11%)
'halaber': 1 total errors (0.11%)
'dute': 1 total errors (0.11%)
'beraiek': 1 total errors (0.11%)
'erabakitako': 1 total errors (0.11%)
'nabarmen': 1 total errors (0.11%)
'estuegiak': 1 total errors (0.11%)
'zirela': 1 total errors (0.11%)
'egunetik': 1 total errors (0.11%)
'komenigarria': 1 total errors (0.11%)
'atzera': 1 total errors (0.11%)
'begiratzea': 1 total errors (0.11%)
'lehen': 1 total errors (0.11%)
'zegoena': 1 total errors (0.11%)
'ezagutzeko': 1 total errors (0.11%)
'urrak': 1 total errors (0.11%)
'eginiko': 1 total errors (0.11%)
'batean': 1 total errors (0.11%)
'han': 1 total errors (0.11%)
'zituzten': 1 total errors (0.11%)
'gainontzekoak': 1 total errors (0.11%)
'libre': 1 total errors (0.11%)
'gintuzten': 1 total errors (0.11%)
'atzokoan': 1 total errors (0.11%)
'estrainekoz': 1 total errors (0.11%)
'burtsan': 1 total errors (0.11%)
'esanak': 1 total errors (0.11%)
'de': 1 total errors (0.11%)
'min': 1 total errors (0.11%)
